selection_strategy,poison_ratio,sigma_multiplier,selected_nodes,trigger_steps,baseline_MAE,baseline_MAPE,baseline_RMSE,clean_MAE,clean_MAPE,clean_RMSE,triggered_MAE,triggered_MAPE,triggered_RMSE,clean_MAE_delta,clean_MAE_delta_ratio,clean_MAPE_delta,clean_MAPE_delta_ratio,clean_RMSE_delta,clean_RMSE_delta_ratio,attack_success_rate,target_shift_ratio,tolerance_ratio,time_domain_amplitude,frequency_energy_shift,anomaly_rate,mean_z_score
random,0.01,0.1,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.36592867970466614,194.20840740203857,0.45974913239479065,0.3661208748817444,194.47598457336426,0.4599688947200775,-0.01865619421005249,-0.04850995313505098,-12.68014907836914,-0.06128975567370227,-0.023190200328826904,-0.048018868535809396,0.0,0.1,0.05,0.002615488613881588,0.05357011329151661,0.003139269406392694,0.8090318419950496
random,0.01,0.2,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.36482056975364685,215.18042087554932,0.4467008411884308,0.3651285767555237,215.45073986053467,0.44693031907081604,-0.019764304161071777,-0.05139126757609946,8.291864395141602,0.040078893372368994,-0.03623849153518677,-0.0750373578619362,0.0,0.1,0.05,0.005230977276369231,0.1065854618860306,0.0029965753424657533,0.808440209059102
random,0.03,0.1,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3824322819709778,222.17445373535156,0.4805590808391571,0.38249221444129944,222.3132848739624,0.4806268811225891,-0.0021525919437408447,-0.00559718306606666,15.285897254943848,0.073884691908474,-0.0023802518844604492,-0.0049286767988778605,0.0,0.1,0.05,0.002615488613881588,0.05357011329151661,0.003139269406392694,0.8090318419950496
random,0.03,0.2,"5,7,4,0,6",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.37310072779655457,203.1419038772583,0.46843433380126953,0.3735933303833008,203.55985164642334,0.468820184469223,-0.011484146118164062,-0.029861148727109488,-3.746652603149414,-0.01810952073371067,-0.014504998922348022,-0.030034826197619154,0.0,0.1,0.05,0.005230977276369231,0.1065854618860306,0.0029965753424657533,0.808440209059102
error,0.01,0.1,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3879084587097168,184.51906442642212,0.48742783069610596,0.3879489302635193,184.87361669540405,0.48741427063941956,0.003323584794998169,0.00864200601850808,-22.369492053985596,-0.10812338987972966,0.004488497972488403,0.009294123854387184,0.0,0.1,0.05,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
error,0.01,0.2,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3928941786289215,191.40691757202148,0.49927830696105957,0.39318063855171204,192.3672080039978,0.49934977293014526,0.00830930471420288,0.02160590620640338,-15.48163890838623,-0.07483081312838266,0.016338974237442017,0.03383235352833165,0.0,0.1,0.05,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
error,0.03,0.1,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3840915858745575,196.40005826950073,0.49189358949661255,0.38429155945777893,196.51154279708862,0.49202272295951843,-0.0004932880401611328,-0.0012826506543013936,-10.488498210906982,-0.05069636711347174,0.008954256772994995,0.01854116276364561,0.0,0.1,0.05,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
error,0.03,0.2,"7,6,0,5,1",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3784884214401245,224.46942329406738,0.4714907109737396,0.37862956523895264,224.79896545410156,0.47155073285102844,-0.006096452474594116,-0.015852033941267277,17.580866813659668,0.08497747344147849,-0.01144862174987793,-0.023706128232114584,0.0,0.1,0.05,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
centrality_gradient,0.01,0.1,"7,0,6,1,5",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.33566179871559143,233.76169204711914,0.41008639335632324,0.335801899433136,234.1707706451416,0.4103197157382965,-0.0489230751991272,-0.12721008681682017,26.873135566711426,0.12989184140426976,-0.07285293936729431,-0.1508531909306867,0.0,0.1,0.05,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
centrality_gradient,0.01,0.2,"7,0,6,1,5",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.37560439109802246,187.97990083694458,0.4707973301410675,0.3758808970451355,188.74751329421997,0.47096532583236694,-0.008980482816696167,-0.023351107715920156,-18.908655643463135,-0.09139536746322545,-0.012142002582550049,-0.025141879651991036,0.0,0.1,0.05,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
centrality_gradient,0.03,0.1,"7,0,6,1,5",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.35400205850601196,220.31395435333252,0.43575119972229004,0.35410255193710327,220.5225706100464,0.4358364939689636,-0.030582815408706665,-0.0795216283401941,13.425397872924805,0.06489193071534716,-0.047188133001327515,-0.09771027084334197,0.0,0.1,0.05,0.00251459042292938,0.05323895662463439,0.003139269406392694,0.8094415557009021
centrality_gradient,0.03,0.2,"7,0,6,1,5",3,0.38458487391471863,206.88855648040771,0.48293933272361755,0.3885965347290039,205.05809783935547,0.48701590299606323,0.38895854353904724,205.6558609008789,0.48732349276542664,0.004011660814285278,0.010431145597200115,-1.830458641052246,-0.008847558667294341,0.004076570272445679,0.008441164337257799,0.0,0.1,0.05,0.005029180581764755,0.10636597519706965,0.003139269406392694,0.809094779540857
