selection_strategy,poison_ratio,sigma_multiplier,attack_success_rate,clean_MAE_delta_ratio
random,0.01,0.1,0.0,-0.0484988717525253
random,0.01,0.2,0.0,-0.05140010168524581
random,0.03,0.1,0.0,-0.004952603067125204
random,0.03,0.2,0.0,-0.029958246435533825
error,0.01,0.1,0.0,0.008618913347230781
error,0.01,0.2,0.0,0.021701454071117832
error,0.03,0.1,0.0,-0.0018397419758198034
error,0.03,0.2,0.0,-0.01660719528890908
centrality_gradient,0.01,0.1,0.0,-0.12711825857700945
centrality_gradient,0.01,0.2,0.0,-0.02343836391678672
centrality_gradient,0.03,0.1,0.0,-0.0790770556720134
centrality_gradient,0.03,0.2,0.0,0.01058427015573682
