selection_strategy,poison_ratio,sigma_multiplier,attack_success_rate,clean_MAE_delta_ratio
random,0.01,0.1,0.0,-0.013850178313393432
random,0.01,0.2,0.0,-0.11377480166456314
random,0.03,0.1,0.0,-0.06252518980354724
random,0.03,0.2,0.0,0.012661913141024076
error,0.01,0.1,0.0,-0.02578629964507804
error,0.01,0.2,0.0273972602739726,-0.1626553999228333
error,0.03,0.1,0.0,-0.021217592864891523
error,0.03,0.2,0.0,-0.09309996406687358
centrality_gradient,0.01,0.1,0.0,-0.005498535513932436
centrality_gradient,0.01,0.2,0.0,-0.16330927898403405
centrality_gradient,0.03,0.1,0.0,-0.12730369737689726
centrality_gradient,0.03,0.2,0.0,-0.12914498919642695
