selection_strategy,poison_ratio,sigma_multiplier,time_domain_amplitude,frequency_energy_shift,anomaly_rate,mean_z_score
random,0.01,0.1,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
random,0.01,0.2,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
random,0.03,0.1,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
random,0.03,0.2,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
error,0.01,0.1,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
error,0.01,0.2,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
error,0.03,0.1,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
error,0.03,0.2,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
centrality_gradient,0.01,0.1,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
centrality_gradient,0.01,0.2,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
centrality_gradient,0.03,0.1,0.00025116352279729904,0.0072905570935214515,0.003139269406392694,0.8101194450622425
centrality_gradient,0.03,0.2,0.0005023272382600454,0.01458179377817752,0.003139269406392694,0.8100880569910262
