selection_strategy,poison_ratio,sigma_multiplier,attack_success_rate,clean_MAE_delta_ratio
random,0.01,0.1,0.0,-0.04850259137742902
random,0.01,0.2,0.0,-0.05132253200756603
random,0.03,0.1,0.0,-0.0048896794125038445
random,0.03,0.2,0.0,-0.029780789330751914
error,0.01,0.1,0.0,0.008636271596781502
error,0.01,0.2,0.0,0.02159373993328078
error,0.03,0.1,0.0,-0.0017206364867150884
error,0.03,0.2,0.0,-0.016601925820295467
centrality_gradient,0.01,0.1,0.0,-0.12710593731951586
centrality_gradient,0.01,0.2,0.0,-0.023412249050275148
centrality_gradient,0.03,0.1,0.0,-0.07876685445347978
centrality_gradient,0.03,0.2,0.0,0.010933682420130549
